feature,importance
recency_days,0.2665842720931359
avg_order_value,0.1956994033804382
monetary,0.18628113212021813
frequency,0.1437689357325317
avg_review_score,0.07374492559303647
customer_state_SP,0.03452084770643997
customer_state_BA,0.013066551341562125
customer_state_MA,0.008617507472471727
customer_state_MG,0.007808852686246686
customer_state_GO,0.006653860712914488
customer_state_SC,0.0062685364186997996
customer_state_ES,0.006067259682537632
customer_state_PE,0.005986319757834967
customer_state_RJ,0.00560602483535413
customer_state_CE,0.005000579340563605
customer_state_DF,0.0046430280979597605
customer_state_PR,0.004503839123644887
customer_state_RS,0.004444558463040198
customer_state_PI,0.0032260958477398
customer_state_MT,0.0026497637877083043
customer_state_PA,0.0025374028273563065
customer_state_RN,0.0024100184097335777
customer_state_MS,0.002339067347655234
customer_state_PB,0.0022241270773488146
customer_state_RO,0.0013057977778837921
customer_state_AL,0.0012521203592355478
customer_state_AM,0.001089926661071894
customer_state_TO,0.0007922791257094304
customer_state_SE,0.0005649848861543738
customer_state_AP,0.00030949922733534513
customer_state_RR,3.248210643713582e-05
